id,straat,huisnr,postcode,plaats,lat,lon,soort,loper
a-0000,Sarphatistraat,17,1089 XM,Amsterdam,52.331186,4.812616,griep,
a-0001,Sarphatistraat,19,1089 XM,Amsterdam,52.331142,4.812446,pneum,
a-0002,Sarphatistraat,21,1089 XM,Amsterdam,52.331127,4.812132,griep,
a-0003,Sarphatistraat,23hs,1089 XM,Amsterdam,52.331118,4.811927,griep,
a-0004,Sarphatistraat,25-3,1089 XM,Amsterdam,52.331083,4.811891,griep,
a-0005,Sarphatistraat,27hs,1089 XM,Amsterdam,52.331072,4.811708,griep,
a-0006,Sarphatistraat,29,1089 XM,Amsterdam,52.33105,4.811501,griep,
a-0007,Sarphatistraat,31,1089 XM,Amsterdam,52.330996,4.811343,griep,
a-0008,Sarphatistraat,33-2,1089 XM,Amsterdam,52.330978,4.810896,griep,
a-0009,Sarphatistraat,35,1089 XM,Amsterdam,52.330917,4.810698,griep,
a-0010,Sarphatistraat,37,1089 XM,Amsterdam,52.330851,4.810071,pneum,
a-0011,Sarphatistraat,39,1089 XM,Amsterdam,52.330845,4.809999,griep,
a-0012,Ferdinand Bolstraat,100,1039 WW,Amsterdam,52.328917,4.860877,griep,
a-0013,Ferdinand Bolstraat,102,1039 WW,Amsterdam,52.329035,4.861032,griep,
a-0014,Ferdinand Bolstraat,104,1039 WW,Amsterdam,52.329168,4.861156,griep,
a-0015,Ferdinand Bolstraat,106,1039 WW,Amsterdam,52.329341,4.861259,griep,
a-0016,Ferdinand Bolstraat,108,1039 WW,Amsterdam,52.329397,4.861357,griep,
a-0017,Ferdinand Bolstraat,110-1,1039 WW,Amsterdam,52.329476,4.861367,griep,
a-0018,Ferdinand Bolstraat,112,1039 WW,Amsterdam,52.329522,4.861489,pneum,
a-0019,Ferdinand Bolstraat,114,1039 WW,Amsterdam,52.329843,4.861762,griep,
a-0020,Ferdinand Bolstraat,116,1039 WW,Amsterdam,52.329698,4.861607,griep,
a-0021,Ferdinand Bolstraat,118,1039 WW,Amsterdam,52.33007,4.861976,griep,
a-0022,Ferdinand Bolstraat,120,1039 WW,Amsterdam,52.330012,4.861889,griep,
a-0023,Ferdinand Bolstraat,122,1039 WW,Amsterdam,52.33016,4.862013,griep,
a-0024,Ferdinand Bolstraat,124,1039 WW,Amsterdam,52.330097,4.862035,pneum,
a-0025,Ferdinand Bolstraat,126,1039 WW,Amsterdam,52.330227,4.862088,griep,
a-0026,Ferdinand Bolstraat,128,1039 WW,Amsterdam,52.330453,4.862329,griep,
a-0027,Ferdinand Bolstraat,130,1039 WW,Amsterdam,52.331001,4.862833,pneum,
a-0028,Ferdinand Bolstraat,132,1039 WW,Amsterdam,52.330744,4.862569,griep,
